labels,description,X,Y,Z,identifier,type,ref,sph_theta,sph_phi,sph_radius,theta,radius,urchan
E2,,7.65899991989136,-6.04099988937378,0.351000010967255,0,EEG,average,-38.264443251684,2.06076751848421,9.76100202048995,38.264443251684,0.488551291563977,
E3,,8.71500015258789,-4.41099977493286,3.50200009346008,0,EEG,average,-26.8457418417477,19.7241927602769,10.3765192299084,26.8457418417477,0.390421151331795,
E4,,8.1569995880127,-3.27500009536743,5.69600009918213,0,EEG,average,-21.8752473501833,32.9439151911935,10.4740959052979,21.8752473501833,0.316978248937814,
E5,,6.49200010299683,-1.68900001049042,7.77699995040894,0,EEG,average,-14.5831438069389,49.2203248897096,10.270370713923,14.5831438069389,0.226553750612724,
E6,,4.34600019454956,-1.06446304546978e-15,9.00800037384033,0,EEG,average,0,64.2445481290234,10.0015892950137,0,0.143085843727648,
E7,,1.77999997138977,1.39699995517731,9.63500022888184,0,EEG,average,38.1259379589192,76.7837974829568,9.89713282640311,-38.1259379589192,0.0734233473169066,
E9,,10.1420001983643,-3.07699990272522,1.24199998378754,0,EEG,average,-16.8773681960262,6.6838046478464,10.6710196506576,16.8773681960262,0.462867751956409,
E11,,9.09000015258789,-2.22640791822314e-15,5.75899982452393,0,EEG,average,0,32.3564387627225,10.7607704999649,0,0.320242006873764,
E12,,6.49200010299682,1.68900001049042,7.77699995040894,0,EEG,average,14.5831438069389,49.2203248897096,10.270370713923,-14.5831438069389,0.226553750612724,
E13,,3.71499991416931,2.78099989891052,8.68599987030029,0,EEG,average,36.8180414423547,61.8860927751535,9.84793270422148,-36.8180414423547,0.156188373471369,
E15,,10.3739995956421,-2.5408970798318e-15,1.52199995517731,0,EEG,average,0,8.34648686729932,10.4850537182192,0,0.453630628515004,
E16,,10.3610000610352,-2.53771311214245e-15,3.54500007629395,0,EEG,average,0,18.8883023361656,10.9506779610075,0,0.395064987021302,
E19,,8.1569995880127,3.27500009536743,5.69600009918213,0,EEG,average,21.8752473501833,32.9439151911935,10.4740959052979,-21.8752473501833,0.316978248937814,
E20,,5.84700012207031,4.36700010299683,6.78399991989136,0,EEG,average,36.7552717692745,42.9103284444035,9.96397286428212,-36.7552717692745,0.26160928641998,
E22,,10.1420001983643,3.07699990272522,1.24199998378754,0,EEG,average,16.8773681960262,6.6838046478464,10.6710196506576,-16.8773681960262,0.462867751956409,
E23,,8.71500015258789,4.41099977493286,3.50200009346008,0,EEG,average,26.8457418417478,19.7241927602769,10.3765192299084,-26.8457418417478,0.390421151331795,
E24,,6.8730001449585,5.09100008010864,4.98299980163574,0,EEG,average,36.5282571244568,30.2247442790989,9.89882315385862,-36.5282571244568,0.332084754005006,
E26,,7.65899991989136,6.04099988937378,0.351000010967255,0,EEG,average,38.264443251684,2.06076751848421,9.76100202048995,-38.264443251684,0.488551291563977,
E27,,6.22499990463257,6.48699998855591,3.23799991607666,0,EEG,average,46.1807248368763,19.8065814223087,9.55596338004245,-46.1807248368763,0.389963436542729,
E29,,3.07999992370605,5.43599987030029,7.18900012969971,0,EEG,average,60.464409135626,49.0062801173263,9.52461111987028,-60.464409135626,0.227742888237076,
E30,,1.09599995613098,4.2189998626709,8.70699977874756,0,EEG,average,75.4377418347747,63.4058237867615,9.73719779465151,-75.4377418347747,0.147745423406881,
E31,,-0.781000018119811,2.23200011253357,9.77700042724609,0,EEG,average,109.285471858784,76.4033753940208,10.0589026680361,-109.285471858784,0.0755368033665509,
E33,,4.71099996566773,7.30499982833862,-0.407000005245209,0,EEG,average,57.1819994584104,-2.68079699581454,8.70184992819448,-57.1819994584104,0.514893316643414,
E34,,3.38899993896484,7.78999996185303,2.7739999294281,0,EEG,average,66.4887954287295,18.0836764443788,8.93669377345118,-66.4887954287295,0.399535130864562,
E35,,1.70099997520447,7.32200002670288,5.41300010681153,0,EEG,average,76.9214014107273,35.7577516756312,9.26313421380821,-76.9214014107273,0.301345824024271,
E36,,0.324999988079073,6.25500011444092,7.28700017929077,0,EEG,average,87.0256758768995,49.3197608135535,9.6089033212376,-87.0256758768995,0.226001328813592,
E37,,-1.73399996757507,4.46299982070923,8.86299991607666,0,EEG,average,111.232537482803,61.6209505919158,10.0736235188524,-111.232537482803,0.157661385600468,
E39,,0.970000028610232,8.21000003814697,-1.00800001621246,0,EEG,average,83.2618208297625,-6.95170543076843,8.32832904696743,-83.2618208297625,0.538620585726491,
E40,,0.037000000476837,8.4379997253418,2.44700002670288,0,EEG,average,89.7487638834628,16.1718870673191,8.78572805722937,-89.7487638834628,0.410156182959338,
E41,,-0.91399997472763,7.88199996948242,5.25099992752075,0,EEG,average,96.6144998565073,33.4952757947227,9.51495242823347,-96.6144998565073,0.313915134473763,
E42,,-2.67000007629394,6.79899978637695,6.85300016403198,0,EEG,average,111.440176003629,43.1735002387836,10.0159327948417,-111.440176003629,0.260147220895647,
E45,,-2.13000011444091,8.33899974822998,-0.717999994754791,0,EEG,average,104.328485114563,-4.76874824170194,8.63662788830026,-104.328485114563,0.526493045787233,
E46,,-2.62400007247925,8.3479995727539,2.72300004959106,0,EEG,average,107.449331319595,17.2848710946121,9.16456231999889,-107.449331319595,0.403972938363266,
E50,,-4.59299993515015,7.74200010299683,-0.264999985694885,0,EEG,average,120.678856621717,-1.68619914001779,9.00580029711466,-120.678856621717,0.509367773000099,
E51,,-5.32800006866455,7.48600006103516,3.13899993896484,0,EEG,average,125.440544407563,18.861408326801,9.70984563535019,-125.440544407563,0.395214398184439,
E52,,-5.13100004196167,6.65700006484985,5.65700006484985,0,EEG,average,127.623871499703,33.942822875997,10.1313602752904,-127.623871499703,0.311428761800017,
E53,,-4.60799980163574,4.78700017929077,7.97100019454956,0,EEG,average,133.908491168919,50.1860572692169,10.3771805896358,-133.908491168919,0.221188570726573,
E54,,-3.89800000190735,2.59200000762939,9.36600017547607,0,EEG,average,146.37782641641,63.4441591685693,10.4706650859169,-146.37782641641,0.147532449063504,
E55,,-2.44099998474121,2.98936281803206e-16,10.03600025177,0,EEG,average,180,76.3297130346057,10.3285905126999,-180,0.0759460386966351,
E57,,-4.26900005340576,7.51200008392334,-3.41400003433228,0,EEG,average,119.609168066319,-21.5602599625355,9.29031231720783,-119.609168066319,0.619779222014086,
E58,,-6.57000017166138,6.88899993896484,0.0590000003576279,0,EEG,average,133.642252856225,0.35509890708152,9.51980584963424,-133.642252856225,0.498027228293992,
E59,,-7.34899997711182,5.94099998474121,3.40700006484985,0,EEG,average,141.047603157466,19.8256293244267,10.0454432915711,-141.047603157466,0.389857614864296,
E60,,-6.92000007629394,4.69999980926514,6.125,0,EEG,average,145.816016949709,36.2116242700253,10.3678360453375,-145.816016949709,0.29882430961097,
E61,,-6.25699996948242,2.67700004577637,8.05700016021729,0,EEG,average,156.836783615409,49.812777363098,10.5466406710825,-156.836783615409,0.223262347982789,
E62,,-7.62200021743775,9.33425816938556e-16,7.38000011444092,0,EEG,average,180,44.0758311061469,10.6093962600974,-180,0.255134271632517,
E64,,-6.70100021362305,6.16900014877319,-3.30100011825562,0,EEG,average,137.367056266753,-19.9214911934244,9.68795997510639,-137.367056266753,0.61067495107458,
E65,,-8.31099987030029,5.30299997329712,0.149000003933907,0,EEG,average,147.459272673777,0.865874484492476,9.85985438848328,-147.459272673777,0.495189586197264,
E66,,-8.75,4.11899995803833,3.57299995422363,0,EEG,average,154.791624029001,20.2769643458306,10.3099461359991,-154.791624029001,0.387350198078719,
E67,,-8.39500045776367,2.10599994659424,5.96299982070923,0,EEG,average,165.917196573273,34.5651158467805,10.5104060493725,-165.917196573273,0.307971578628997,
E69,,-8.67899990081787,4.02799987792969,-3.21700000762939,0,EEG,average,155.10357256188,-18.5836249222274,10.0944990635537,-155.10357256188,0.603242360679041,
E70,,-9.82600021362305,3.12599992752075,0.273000001907349,0,EEG,average,162.352283363321,1.5166031378383,10.3148768652864,-162.352283363321,0.491574427012009,
E71,,-9.63199996948242,1.60399997234345,3.74099993705749,0,EEG,average,170.545395045561,20.9626829722117,10.4567356212372,-170.545395045561,0.383540650154379,
E72,,-8.9379997253418,1.09458927544198e-15,5.35099983215332,0,EEG,average,180,30.9081048371143,10.4173431494751,-180,0.328288306460476,
E74,,-9.65200042724609,1.2849999666214,-3.00500011444092,0,EEG,average,172.416633558171,-17.1508260490854,10.1903072990742,-172.416633558171,0.595282366939363,
E75,,-10.2700004577637,1.25771231878421e-15,0.556999981403351,0,EEG,average,180,3.10443138663919,10.2850939899327,-180,0.482753158963116,
E76,,-9.63199996948242,-1.60399997234344,3.74099993705749,0,EEG,average,-170.545395045561,20.9626829722117,10.4567356212372,170.545395045561,0.383540650154379,
E77,,-8.39500045776367,-2.10599994659424,5.96299982070923,0,EEG,average,-165.917196573273,34.5651158467805,10.5104060493725,165.917196573273,0.307971578628997,
E78,,-6.25699996948242,-2.67700004577637,8.05700016021729,0,EEG,average,-156.836783615409,49.812777363098,10.5466406710825,156.836783615409,0.223262347982789,
E79,,-3.89800000190735,-2.59200000762939,9.36600017547607,0,EEG,average,-146.37782641641,63.4441591685693,10.4706650859169,146.37782641641,0.147532449063504,
E80,,-0.781000018119812,-2.23200011253357,9.77700042724609,0,EEG,average,-109.285471858784,76.4033753940208,10.0589026680361,109.285471858784,0.0755368033665509,
E82,,-9.65200042724609,-1.2849999666214,-3.00500011444092,0,EEG,average,-172.416633558171,-17.1508260490854,10.1903072990742,172.416633558171,0.595282366939363,
E83,,-9.82600021362305,-3.12599992752075,0.273000001907349,0,EEG,average,-162.352283363321,1.5166031378383,10.3148768652864,162.352283363321,0.491574427012009,
E84,,-8.75,-4.11899995803833,3.57299995422363,0,EEG,average,-154.791624029001,20.2769643458306,10.3099461359991,154.791624029001,0.387350198078719,
E85,,-6.92000007629395,-4.69999980926513,6.125,0,EEG,average,-145.816016949709,36.2116242700253,10.3678360453375,145.816016949709,0.29882430961097,
E86,,-4.60799980163574,-4.78700017929077,7.97100019454956,0,EEG,average,-133.908491168919,50.1860572692169,10.3771805896358,133.908491168919,0.221188570726573,
E87,,-1.73399996757507,-4.46299982070923,8.86299991607666,0,EEG,average,-111.232537482803,61.6209505919158,10.0736235188524,111.232537482803,0.157661385600468,
E89,,-8.67899990081787,-4.02799987792969,-3.21700000762939,0,EEG,average,-155.10357256188,-18.5836249222274,10.0944990635537,155.10357256188,0.603242360679041,
E90,,-8.3109998703003,-5.30299997329712,0.149000003933907,0,EEG,average,-147.459272673777,0.865874484492476,9.85985438848328,147.459272673777,0.495189586197264,
E91,,-7.34899997711182,-5.94099998474121,3.40700006484985,0,EEG,average,-141.047603157466,19.8256293244267,10.0454432915711,141.047603157466,0.389857614864296,
E92,,-5.13100004196167,-6.65700006484985,5.65700006484985,0,EEG,average,-127.623871499703,33.942822875997,10.1313602752904,127.623871499703,0.311428761800017,
E93,,-2.67000007629395,-6.79899978637695,6.85300016403198,0,EEG,average,-111.440176003629,43.1735002387836,10.0159327948417,111.440176003629,0.260147220895647,
E95,,-6.70100021362305,-6.16900014877319,-3.30100011825562,0,EEG,average,-137.367056266753,-19.9214911934244,9.68795997510639,137.367056266753,0.61067495107458,
E96,,-6.57000017166138,-6.88899993896484,0.0590000003576279,0,EEG,average,-133.642252856225,0.35509890708152,9.51980584963424,133.642252856225,0.498027228293992,
E97,,-5.32800006866455,-7.48600006103515,3.13899993896484,0,EEG,average,-125.440544407563,18.861408326801,9.70984563535019,125.440544407563,0.395214398184439,
E100,,-4.26900005340576,-7.51200008392334,-3.41400003433228,0,EEG,average,-119.609168066319,-21.5602599625355,9.29031231720783,119.609168066319,0.619779222014086,
E101,,-4.59299993515015,-7.74200010299683,-0.264999985694885,0,EEG,average,-120.678856621717,-1.68619914001779,9.00580029711466,120.678856621717,0.509367773000099,
E102,,-2.62400007247925,-8.34799957275391,2.72300004959106,0,EEG,average,-107.449331319595,17.2848710946121,9.16456231999889,107.449331319595,0.403972938363266,
E103,,-0.913999974727632,-7.88199996948242,5.25099992752075,0,EEG,average,-96.6144998565073,33.4952757947227,9.51495242823347,96.6144998565073,0.313915134473763,
E104,,0.32499998807907,-6.25500011444092,7.28700017929077,0,EEG,average,-87.0256758768996,49.3197608135535,9.6089033212376,87.0256758768996,0.226001328813592,
E105,,1.09599995613098,-4.2189998626709,8.70699977874756,0,EEG,average,-75.4377418347747,63.4058237867615,9.73719779465151,75.4377418347747,0.147745423406881,
E106,,1.77999997138977,-1.39699995517731,9.63500022888184,0,EEG,average,-38.1259379589192,76.7837974829568,9.89713282640311,38.1259379589192,0.0734233473169066,
E108,,-2.13000011444092,-8.33899974822998,-0.717999994754791,0,EEG,average,-104.328485114563,-4.76874824170194,8.63662788830026,104.328485114563,0.526493045787233,
E109,,0.0370000004768356,-8.4379997253418,2.44700002670288,0,EEG,average,-89.7487638834627,16.1718870673191,8.78572805722937,89.7487638834627,0.410156182959338,
E110,,1.70099997520447,-7.32200002670288,5.41300010681153,0,EEG,average,-76.9214014107273,35.7577516756312,9.26313421380821,76.9214014107273,0.301345824024271,
E111,,3.07999992370605,-5.43599987030029,7.18900012969971,0,EEG,average,-60.4644091356259,49.0062801173263,9.52461111987028,60.4644091356259,0.227742888237076,
E112,,3.71499991416931,-2.78099989891052,8.68599987030029,0,EEG,average,-36.8180414423547,61.8860927751535,9.84793270422148,36.8180414423547,0.156188373471369,
E115,,0.970000028610228,-8.21000003814697,-1.00800001621246,0,EEG,average,-83.2618208297625,-6.95170543076843,8.32832904696743,83.2618208297625,0.538620585726491,
E116,,3.38899993896484,-7.78999996185303,2.7739999294281,0,EEG,average,-66.4887954287295,18.0836764443788,8.93669377345118,66.4887954287295,0.399535130864562,
E118,,5.84700012207031,-4.36700010299683,6.78399991989136,0,EEG,average,-36.7552717692745,42.9103284444035,9.96397286428212,36.7552717692745,0.26160928641998,
E122,,4.71099996566772,-7.30499982833862,-0.407000005245209,0,EEG,average,-57.1819994584104,-2.68079699581454,8.70184992819448,57.1819994584104,0.514893316643414,
E123,,6.22499990463257,-6.48699998855591,3.23799991607666,0,EEG,average,-46.1807248368763,19.8065814223087,9.55596338004245,46.1807248368763,0.389963436542729,
E124,,6.87300014495849,-5.09100008010864,4.98299980163574,0,EEG,average,-36.5282571244568,30.2247442790989,9.89882315385862,36.5282571244568,0.332084754005006,
E129,VREF,-1.14270451702945e-31,-6.22059365919513e-16,10.1590003967285,1001,EEG,average,-90,90,10.1590003967285,90,0,
